"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","1299480000","1256280000","0.19","12000000","12000000","New","/mutual-fund/holding-history/10901/2789016/"
"Max Estates Ltd","MAXESTATES","544008","Real Estate","1384519241.5","1255984000","0.19","2510461","","","/mutual-fund/holding-history/10901/1771763/"
"Rainbow Childrens Medicare Ltd","RAINBOW","543524","Healthcare","1194062571","1226250000","0.18","785051","","","/mutual-fund/holding-history/10901/877862/"
"Sanofi Consumer Healthcare India Ltd","SANOFICONR","544250","Healthcare","1086758372","1218898000","0.18","213992","","","/mutual-fund/holding-history/10901/2638456/"
"Aditya Birla Lifestyle Brands Ltd","ABLBL","544403","Consumer Cyclical","1186596987.29","1218160000","0.18","7755029","7755029","New","/mutual-fund/holding-history/10901/3148199/"
"Afcons Infrastructure Ltd","AFCONS","544280","Industrials","1176334622.7","1204841000","0.18","2754237","1750537","174.41","/mutual-fund/holding-history/10901/2734936/"
"Sudarshan Chemical Industries Ltd","SUDARSCHEM","506655","Basic Materials","1215658950","1195689000","0.18","969425","","","/mutual-fund/holding-history/10901/1304/"
"L.G.Balakrishnan & Bros Ltd","LGBBROSLTD","500250","Consumer Cyclical","1151244239.6","1162292000","0.17","890918","","","/mutual-fund/holding-history/10901/787/"
"Belrise Industries Ltd","BELRISE","544405","Consumer Cyclical","1356893882.4","1128170000","0.17","10728130","","","/mutual-fund/holding-history/10901/3104419/"
"Mishra Dhatu Nigam Ltd Ordinary Shares","MIDHANI","541195","Basic Materials","1080074351.25","1126291000","0.17","2589175","","","/mutual-fund/holding-history/10901/80900/"
"Sumitomo Chemical India Ltd Ordinary Shares","SUMICHEM","542920","Basic Materials","1232762361.6","1099850000","0.17","2076756","176956","9.31","/mutual-fund/holding-history/10901/182906/"
"Go Fashion (India) Ltd","GOCOLORS","543401","Consumer Cyclical","1081392607.8","1082432000","0.16","1223364","53186","4.55","/mutual-fund/holding-history/10901/728986/"
"Sansera Engineering Ltd","SANSERA","543358","Consumer Cyclical","1056142718.5","1073731000","0.16","778235","6034","0.78","/mutual-fund/holding-history/10901/658068/"
"Greenlam Industries Ltd","GREENLAM","538979","Consumer Cyclical","1067328436.32","1055962000","0.16","4422876","","","/mutual-fund/holding-history/10901/1565/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","1080043275","1044993000","0.16","26553","","","/mutual-fund/holding-history/10901/569/"
